Year,Rank,Country,Region,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom,Generosity,Corruption Perception
2015,66,North Cyprus,Western Europe,5.695,1.208,1.070,0.924,0.490,0.262,0.143
2015,67,Cyprus,Western Europe,5.689,1.208,0.893,0.924,0.407,0.306,0.061
2015,68,Algeria,Middle East and Northern Africa,5.605,0.939,1.078,0.618,0.286,0.078,0.174
2015,69,Kosovo,Central and Eastern Europe,5.589,0.801,0.812,0.631,0.247,0.283,0.047
2015,70,Turkmenistan,Central and Eastern Europe,5.548,0.958,1.227,0.539,0.476,0.170,0.308
2015,71,Mauritius,Sub-Saharan Africa,5.477,1.008,0.985,0.710,0.561,0.377,0.075
2015,72,Hong Kong,Eastern Asia,5.474,1.386,1.058,1.013,0.596,0.395,0.371
2015,73,Estonia,Central and Eastern Europe,5.429,1.152,1.228,0.774,0.449,0.087,0.152
2015,74,Indonesia,Southeastern Asia,5.399,0.828,1.087,0.638,0.466,0.515,0.000
2015,75,Vietnam,Southeastern Asia,5.360,0.632,0.912,0.747,0.594,0.169,0.104
2015,76,Turkey,Middle East and Northern Africa,5.332,1.061,0.946,0.732,0.228,0.123,0.157
2015,77,Kyrgyzstan,Central and Eastern Europe,5.286,0.474,1.151,0.651,0.435,0.300,0.042
2015,78,Nigeria,Sub-Saharan Africa,5.268,0.654,0.904,0.160,0.343,0.272,0.040
2015,79,Bhutan,Southern Asia,5.253,0.770,1.104,0.574,0.532,0.480,0.154
2015,80,Azerbaijan,Central and Eastern Europe,5.212,1.024,0.938,0.640,0.370,0.078,0.161
2015,81,Pakistan,Southern Asia,5.194,0.595,0.414,0.515,0.121,0.337,0.105
2015,82,Jordan,Middle East and Northern Africa,5.192,0.902,1.054,0.696,0.407,0.111,0.143
2015,82,Montenegro,Central and Eastern Europe,5.192,0.974,0.906,0.725,0.183,0.161,0.143
2015,84,China,Eastern Asia,5.140,0.890,0.947,0.817,0.517,0.082,0.028
2015,85,Zambia,Sub-Saharan Africa,5.129,0.470,0.916,0.299,0.488,0.196,0.125
2015,86,Romania,Central and Eastern Europe,5.124,1.043,0.886,0.769,0.351,0.137,0.006
2015,87,Serbia,Central and Eastern Europe,5.123,0.921,1.010,0.748,0.201,0.192,0.026
2015,88,Portugal,Western Europe,5.102,1.160,1.139,0.875,0.515,0.137,0.011
2015,89,Latvia,Central and Eastern Europe,5.098,1.113,1.096,0.724,0.297,0.182,0.063
2015,90,Philippines,Southeastern Asia,5.073,0.705,1.035,0.581,0.625,0.250,0.123
2015,91,Somaliland region,Sub-Saharan Africa,5.057,0.188,0.952,0.439,0.466,0.503,0.399
2015,92,Morocco,Middle East and Northern Africa,5.013,0.735,0.641,0.610,0.417,0.072,0.085
2015,93,Macedonia,Central and Eastern Europe,5.007,0.919,1.002,0.735,0.335,0.224,0.053
2015,94,Mozambique,Sub-Saharan Africa,4.971,0.083,1.026,0.091,0.340,0.223,0.156
2015,95,Albania,Central and Eastern Europe,4.959,0.879,0.804,0.813,0.357,0.143,0.064
2015,96,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.832,0.919,0.791,0.092,0.248,0.002
2015,97,Lesotho,Sub-Saharan Africa,4.898,0.375,1.041,0.076,0.318,0.164,0.125
2015,98,Dominican Republic,Latin America and Caribbean,4.885,0.895,1.172,0.668,0.577,0.217,0.142
2015,99,Laos,Southeastern Asia,4.876,0.591,0.738,0.549,0.596,0.422,0.242
2015,100,Mongolia,Eastern Asia,4.874,0.828,1.301,0.603,0.436,0.332,0.027
2015,101,Swaziland,Sub-Saharan Africa,4.867,0.712,1.073,0.076,0.307,0.183,0.031
2015,102,Greece,Western Europe,4.857,1.154,0.929,0.882,0.077,0.000,0.014
2015,103,Lebanon,Middle East and Northern Africa,4.839,1.026,0.800,0.839,0.339,0.219,0.046
2015,104,Hungary,Central and Eastern Europe,4.800,1.121,1.202,0.759,0.321,0.128,0.028
2015,105,Honduras,Latin America and Caribbean,4.788,0.595,0.953,0.695,0.401,0.230,0.068
2015,106,Tajikistan,Central and Eastern Europe,4.786,0.390,0.856,0.574,0.472,0.230,0.151
2015,107,Tunisia,Middle East and Northern Africa,4.739,0.881,0.604,0.738,0.263,0.064,0.064
2015,108,Palestinian Territories,Middle East and Northern Africa,4.715,0.599,0.926,0.660,0.245,0.113,0.129
2015,109,Bangladesh,Southern Asia,4.694,0.398,0.431,0.602,0.408,0.212,0.126
2015,110,Iran,Middle East and Northern Africa,4.686,1.009,0.544,0.698,0.300,0.381,0.059
2015,111,Ukraine,Central and Eastern Europe,4.681,0.799,1.203,0.674,0.251,0.153,0.030
2015,112,Iraq,Middle East and Northern Africa,4.677,0.985,0.819,0.602,0.000,0.179,0.138
2015,113,South Africa,Sub-Saharan Africa,4.642,0.920,1.185,0.277,0.332,0.120,0.089
2015,114,Ghana,Sub-Saharan Africa,4.633,0.546,0.680,0.401,0.423,0.231,0.044
2015,115,Zimbabwe,Sub-Saharan Africa,4.610,0.271,1.033,0.335,0.259,0.190,0.081
2015,116,Liberia,Sub-Saharan Africa,4.571,0.071,0.790,0.342,0.285,0.244,0.062
2015,117,India,Southern Asia,4.565,0.645,0.382,0.515,0.398,0.265,0.085
2015,118,Sudan,Sub-Saharan Africa,4.550,0.521,1.014,0.369,0.101,0.191,0.147
2015,119,Haiti,Latin America and Caribbean,4.518,0.267,0.743,0.388,0.244,0.462,0.172
2015,120,Congo (Kinshasa),Sub-Saharan Africa,4.517,0.000,1.001,0.098,0.226,0.248,0.076
2015,121,Nepal,Southern Asia,4.514,0.360,0.864,0.569,0.383,0.323,0.059
2015,122,Ethiopia,Sub-Saharan Africa,4.512,0.191,0.604,0.441,0.434,0.243,0.150
2015,123,Sierra Leone,Sub-Saharan Africa,4.507,0.330,0.956,0.000,0.408,0.215,0.088
2015,124,Mauritania,Sub-Saharan Africa,4.436,0.454,0.869,0.359,0.242,0.219,0.175
2015,125,Kenya,Sub-Saharan Africa,4.419,0.365,0.999,0.414,0.422,0.375,0.058
2015,126,Djibouti,Sub-Saharan Africa,4.369,0.440,0.592,0.363,0.461,0.181,0.281
2015,127,Armenia,Central and Eastern Europe,4.350,0.768,0.777,0.730,0.198,0.079,0.039
2015,128,Botswana,Sub-Saharan Africa,4.332,0.994,1.105,0.048,0.495,0.105,0.125
2015,129,Myanmar,Southeastern Asia,4.307,0.271,0.709,0.482,0.440,0.796,0.190
2015,130,Georgia,Central and Eastern Europe,4.297,0.742,0.386,0.729,0.406,0.055,0.383
2015,131,Malawi,Sub-Saharan Africa,4.292,0.016,0.411,0.226,0.431,0.331,0.070
2015,132,Sri Lanka,Southern Asia,4.271,0.835,1.019,0.708,0.537,0.408,0.092
2015,133,Cameroon,Sub-Saharan Africa,4.252,0.422,0.888,0.234,0.493,0.206,0.058
2015,134,Bulgaria,Central and Eastern Europe,4.218,1.012,1.106,0.766,0.306,0.119,0.009
2015,135,Egypt,Middle East and Northern Africa,4.194,0.882,0.747,0.617,0.173,0.113,0.063
2015,136,Yemen,Middle East and Northern Africa,4.077,0.546,0.681,0.401,0.356,0.091,0.079
2015,137,Angola,Sub-Saharan Africa,4.033,0.758,0.860,0.167,0.104,0.123,0.071
2015,138,Mali,Sub-Saharan Africa,3.995,0.261,1.035,0.206,0.389,0.188,0.124
2015,139,Congo (Brazzaville),Sub-Saharan Africa,3.989,0.679,0.663,0.311,0.415,0.124,0.117
2015,140,Comoros,Sub-Saharan Africa,3.956,0.239,0.793,0.363,0.229,0.174,0.199
2015,141,Uganda,Sub-Saharan Africa,3.931,0.211,1.133,0.339,0.457,0.291,0.073
2015,142,Senegal,Sub-Saharan Africa,3.904,0.365,0.976,0.435,0.368,0.208,0.107
2015,143,Gabon,Sub-Saharan Africa,3.896,1.060,0.905,0.434,0.319,0.068,0.111
2015,144,Niger,Sub-Saharan Africa,3.845,0.069,0.773,0.297,0.477,0.194,0.156
2015,145,Cambodia,Southeastern Asia,3.819,0.460,0.627,0.611,0.662,0.404,0.072
2015,146,Tanzania,Sub-Saharan Africa,3.781,0.285,1.003,0.382,0.329,0.344,0.057
2015,147,Madagascar,Sub-Saharan Africa,3.681,0.208,0.668,0.467,0.192,0.213,0.081
2015,148,Central African Republic,Sub-Saharan Africa,3.678,0.078,0.000,0.067,0.489,0.238,0.083
2015,149,Chad,Sub-Saharan Africa,3.667,0.342,0.761,0.150,0.235,0.184,0.053
2015,150,Guinea,Sub-Saharan Africa,3.656,0.174,0.465,0.240,0.377,0.287,0.121
2015,151,Ivory Coast,Sub-Saharan Africa,3.655,0.465,0.771,0.152,0.469,0.202,0.179
2015,152,Burkina Faso,Sub-Saharan Africa,3.587,0.258,0.852,0.271,0.395,0.217,0.128
2015,153,Afghanistan,Southern Asia,3.575,0.320,0.303,0.303,0.234,0.365,0.097
2015,154,Rwanda,Sub-Saharan Africa,3.465,0.222,0.774,0.429,0.592,0.226,0.552
2015,155,Benin,Sub-Saharan Africa,3.340,0.287,0.354,0.319,0.484,0.183,0.080
2015,156,Syria,Middle East and Northern Africa,3.006,0.663,0.475,0.722,0.157,0.472,0.189
2015,157,Burundi,Sub-Saharan Africa,2.905,0.015,0.416,0.224,0.118,0.197,0.101
2015,158,Togo,Sub-Saharan Africa,2.839,0.209,0.140,0.284,0.365,0.167,0.107
2016,1,Denmark,Western Europe,7.526,1.442,1.164,0.795,0.579,0.362,0.445
2016,2,Switzerland,Western Europe,7.509,1.527,1.145,0.863,0.586,0.281,0.412
2016,3,Iceland,Western Europe,7.501,1.427,1.183,0.867,0.566,0.477,0.150
2016,4,Norway,Western Europe,7.498,1.577,1.127,0.796,0.596,0.379,0.358
2016,5,Finland,Western Europe,7.413,1.406,1.135,0.811,0.571,0.255,0.410
2016,6,Canada,North America,7.404,1.440,1.096,0.828,0.574,0.448,0.313
2016,7,Netherlands,Western Europe,7.339,1.465,1.029,0.812,0.552,0.474,0.299
2016,8,New Zealand,Australia and New Zealand,7.334,1.361,1.173,0.831,0.581,0.494,0.419
2016,9,Australia,Australia and New Zealand,7.313,1.444,1.105,0.851,0.568,0.474,0.323
2016,10,Sweden,Western Europe,7.291,1.452,1.088,0.831,0.582,0.383,0.409
2016,11,Israel,Middle East and Northern Africa,7.267,1.338,0.995,0.849,0.364,0.323,0.087
2016,12,Austria,Western Europe,7.119,1.450,1.084,0.806,0.544,0.329,0.213
2016,13,United States,North America,7.104,1.508,1.048,0.779,0.482,0.411,0.149
2016,14,Costa Rica,Latin America and Caribbean,7.087,1.069,1.022,0.761,0.552,0.226,0.105
2016,15,Puerto Rico,Latin America and Caribbean,7.039,1.359,1.081,0.778,0.468,0.222,0.123
2016,16,Germany,Western Europe,6.994,1.448,1.098,0.815,0.535,0.305,0.286
2016,17,Brazil,Latin America and Caribbean,6.952,1.088,1.039,0.614,0.404,0.158,0.142
2016,18,Belgium,Western Europe,6.929,1.425,1.052,0.820,0.514,0.242,0.262
2016,19,Ireland,Western Europe,6.907,1.483,1.162,0.815,0.540,0.450,0.298
2016,20,Luxembourg,Western Europe,6.871,1.698,1.040,0.845,0.549,0.276,0.353
2016,21,Mexico,Latin America and Caribbean,6.778,1.115,0.715,0.711,0.377,0.117,0.184
2016,22,Singapore,Southeastern Asia,6.739,1.646,0.868,0.947,0.488,0.327,0.470
2016,23,United Kingdom,Western Europe,6.725,1.403,1.087,0.810,0.500,0.502,0.274
2016,24,Chile,Latin America and Caribbean,6.705,1.217,0.906,0.819,0.378,0.316,0.115
2016,25,Panama,Latin America and Caribbean,6.701,1.183,0.989,0.708,0.489,0.242,0.084
2016,26,Argentina,Latin America and Caribbean,6.650,1.151,1.066,0.697,0.423,0.110,0.073
2016,27,Czech Republic,Central and Eastern Europe,6.596,1.309,1.008,0.764,0.414,0.099,0.040
2016,28,United Arab Emirates,Middle East and Northern Africa,6.573,1.574,0.871,0.730,0.562,0.266,0.356
2016,29,Uruguay,Latin America and Caribbean,6.545,1.182,1.031,0.722,0.544,0.181,0.214
2016,30,Malta,Western Europe,6.488,1.308,1.099,0.803,0.550,0.562,0.176
2016,31,Colombia,Latin America and Caribbean,6.481,1.030,1.022,0.597,0.447,0.156,0.054
2016,32,France,Western Europe,6.478,1.395,1.005,0.838,0.466,0.122,0.178
2016,33,Thailand,Southeastern Asia,6.474,1.089,1.045,0.649,0.496,0.587,0.028
2016,34,Saudi Arabia,Middle East and Northern Africa,6.379,1.490,0.848,0.593,0.379,0.155,0.300
2016,34,Taiwan,Eastern Asia,6.379,1.397,0.926,0.796,0.324,0.255,0.066
2016,36,Qatar,Middle East and Northern Africa,6.375,1.824,0.880,0.717,0.567,0.324,0.480
2016,37,Spain,Western Europe,6.361,1.343,1.129,0.879,0.375,0.177,0.061
2016,38,Algeria,Middle East and Northern Africa,6.355,1.053,0.833,0.618,0.210,0.070,0.162
2016,39,Guatemala,Latin America and Caribbean,6.324,0.835,0.871,0.540,0.504,0.288,0.087
2016,40,Suriname,Latin America and Caribbean,6.269,1.097,0.779,0.509,0.522,0.167,0.127
2016,41,Kuwait,Middle East and Northern Africa,6.239,1.617,0.878,0.636,0.432,0.160,0.237
2016,42,Bahrain,Middle East and Northern Africa,6.218,1.440,0.944,0.657,0.474,0.171,0.258
2016,43,Trinidad and Tobago,Latin America and Caribbean,6.168,1.326,0.986,0.526,0.485,0.319,0.012
2016,44,Venezuela,Latin America and Caribbean,6.084,1.134,1.033,0.619,0.198,0.042,0.083
2016,45,Slovakia,Central and Eastern Europe,6.078,1.280,1.083,0.704,0.234,0.138,0.029
2016,46,El Salvador,Latin America and Caribbean,6.068,0.874,0.810,0.596,0.373,0.089,0.106
2016,47,Malaysia,Southeastern Asia,6.005,1.251,0.880,0.624,0.390,0.415,0.091
2016,48,Nicaragua,Latin America and Caribbean,5.992,0.694,0.895,0.652,0.466,0.298,0.163
2016,49,Uzbekistan,Central and Eastern Europe,5.987,0.736,1.168,0.502,0.608,0.343,0.283
2016,50,Italy,Western Europe,5.977,1.355,1.042,0.851,0.188,0.167,0.026
2016,51,Ecuador,Latin America and Caribbean,5.976,0.973,0.860,0.686,0.403,0.101,0.180
2016,52,Belize,Latin America and Caribbean,5.956,0.876,0.687,0.456,0.512,0.237,0.108
2016,53,Japan,Eastern Asia,5.921,1.380,1.061,0.915,0.468,0.102,0.190
2016,54,Kazakhstan,Central and Eastern Europe,5.919,1.229,0.955,0.574,0.405,0.150,0.111
2016,55,Moldova,Central and Eastern Europe,5.897,0.692,0.831,0.523,0.252,0.200,0.019
2016,56,Russia,Central and Eastern Europe,5.856,1.232,1.053,0.590,0.327,0.027,0.036
2016,57,Poland,Central and Eastern Europe,5.835,1.246,1.047,0.691,0.452,0.144,0.055
2016,57,South Korea,Eastern Asia,5.835,1.359,0.722,0.886,0.252,0.188,0.077
2016,59,Bolivia,Latin America and Caribbean,5.822,0.794,0.838,0.470,0.510,0.217,0.077
2016,60,Lithuania,Central and Eastern Europe,5.813,1.269,1.064,0.647,0.189,0.020,0.018
2016,61,Belarus,Central and Eastern Europe,5.802,1.131,1.050,0.631,0.291,0.139,0.175
2016,62,North Cyprus,Western Europe,5.771,1.311,0.818,0.841,0.436,0.263,0.166
2016,63,Slovenia,Central and Eastern Europe,5.768,1.299,1.056,0.792,0.532,0.257,0.036
2016,64,Peru,Latin America and Caribbean,5.743,0.996,0.813,0.630,0.375,0.145,0.053
2016,65,Turkmenistan,Central and Eastern Europe,5.658,1.080,1.038,0.440,0.374,0.226,0.285
2016,66,Mauritius,Sub-Saharan Africa,5.648,1.144,0.757,0.662,0.461,0.370,0.052
2016,67,Libya,Middle East and Northern Africa,5.615,1.067,0.951,0.523,0.407,0.171,0.103
2016,68,Latvia,Central and Eastern Europe,5.560,1.218,0.950,0.640,0.280,0.174,0.089
2016,69,Cyprus,Western Europe,5.546,1.319,0.707,0.849,0.295,0.279,0.052
2016,70,Paraguay,Latin America and Caribbean,5.538,0.894,1.111,0.583,0.462,0.253,0.074
2016,71,Romania,Central and Eastern Europe,5.528,1.170,0.728,0.676,0.367,0.129,0.007
2016,72,Estonia,Central and Eastern Europe,5.517,1.280,1.052,0.681,0.415,0.084,0.185
2016,73,Jamaica,Latin America and Caribbean,5.510,0.893,0.964,0.595,0.436,0.222,0.043
2016,74,Croatia,Central and Eastern Europe,5.488,1.186,0.608,0.705,0.239,0.184,0.040
2016,75,Hong Kong,Eastern Asia,5.458,1.511,0.870,0.953,0.481,0.401,0.316
2016,76,Somalia,Sub-Saharan Africa,5.440,0.000,0.336,0.115,0.568,0.272,0.312
2016,77,Kosovo,Central and Eastern Europe,5.401,0.901,0.661,0.540,0.144,0.280,0.065
2016,78,Turkey,Middle East and Northern Africa,5.389,1.165,0.877,0.647,0.239,0.047,0.123
2016,79,Indonesia,Southeastern Asia,5.314,0.951,0.876,0.494,0.392,0.565,0.003
2016,80,Jordan,Middle East and Northern Africa,5.303,0.997,0.862,0.607,0.360,0.143,0.133
2016,81,Azerbaijan,Central and Eastern Europe,5.291,1.124,0.760,0.545,0.353,0.056,0.179
2016,82,Philippines,Southeastern Asia,5.279,0.812,0.879,0.470,0.549,0.217,0.118
2016,83,China,Eastern Asia,5.245,1.028,0.794,0.736,0.440,0.050,0.027
2016,84,Bhutan,Southern Asia,5.196,0.853,0.908,0.498,0.461,0.485,0.162
2016,85,Kyrgyzstan,Central and Eastern Europe,5.185,0.560,0.954,0.554,0.402,0.384,0.048
2016,86,Serbia,Central and Eastern Europe,5.177,1.034,0.813,0.646,0.157,0.207,0.043
2016,87,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.934,0.644,0.708,0.095,0.299,0.000
2016,88,Montenegro,Central and Eastern Europe,5.161,1.078,0.742,0.635,0.151,0.172,0.127
2016,89,Dominican Republic,Latin America and Caribbean,5.155,1.028,0.995,0.577,0.523,0.213,0.124
2016,90,Morocco,Middle East and Northern Africa,5.151,0.841,0.386,0.595,0.256,0.041,0.084
2016,91,Hungary,Central and Eastern Europe,5.145,1.241,0.932,0.676,0.198,0.099,0.045
2016,92,Pakistan,Southern Asia,5.132,0.688,0.261,0.403,0.146,0.312,0.139
2016,93,Lebanon,Middle East and Northern Africa,5.129,1.123,0.642,0.762,0.262,0.237,0.031
2016,94,Portugal,Western Europe,5.123,1.276,0.944,0.794,0.447,0.117,0.015
2016,95,Macedonia,Central and Eastern Europe,5.121,1.019,0.782,0.647,0.277,0.235,0.070
2016,96,Vietnam,Southeastern Asia,5.061,0.740,0.791,0.662,0.560,0.251,0.116
2016,97,Somaliland Region,Sub-Saharan Africa,5.057,0.256,0.759,0.331,0.391,0.515,0.368
2016,98,Tunisia,Middle East and Northern Africa,5.045,0.977,0.432,0.596,0.236,0.039,0.082
2016,99,Greece,Western Europe,5.033,1.249,0.755,0.800,0.058,0.000,0.041
2016,100,Tajikistan,Central and Eastern Europe,4.996,0.488,0.756,0.531,0.434,0.260,0.135
2016,101,Mongolia,Eastern Asia,4.907,0.989,1.090,0.555,0.360,0.345,0.033
2016,102,Laos,Southeastern Asia,4.876,0.680,0.550,0.383,0.522,0.431,0.224
2016,103,Nigeria,Sub-Saharan Africa,4.875,0.752,0.645,0.051,0.279,0.232,0.030
2016,104,Honduras,Latin America and Caribbean,4.871,0.694,0.756,0.584,0.268,0.204,0.069
2016,105,Iran,Middle East and Northern Africa,4.813,1.118,0.389,0.642,0.225,0.385,0.056
2016,106,Zambia,Sub-Saharan Africa,4.795,0.612,0.638,0.236,0.427,0.179,0.115
2016,107,Nepal,Southern Asia,4.793,0.446,0.697,0.501,0.370,0.382,0.070
2016,108,Palestinian Territories,Middle East and Northern Africa,4.754,0.670,0.716,0.568,0.177,0.112,0.106
2016,109,Albania,Central and Eastern Europe,4.655,0.955,0.502,0.730,0.319,0.168,0.053
2016,110,Bangladesh,Southern Asia,4.643,0.542,0.247,0.530,0.398,0.191,0.126
2016,111,Sierra Leone,Sub-Saharan Africa,4.635,0.365,0.628,0.000,0.307,0.239,0.082
2016,112,Iraq,Middle East and Northern Africa,4.575,1.075,0.592,0.511,0.249,0.196,0.136
2016,113,Namibia,Sub-Saharan Africa,4.574,0.933,0.704,0.347,0.486,0.078,0.104
2016,114,Cameroon,Sub-Saharan Africa,4.513,0.525,0.625,0.127,0.427,0.227,0.061
2016,115,Ethiopia,Sub-Saharan Africa,4.508,0.293,0.379,0.346,0.367,0.295,0.172
2016,116,South Africa,Sub-Saharan Africa,4.459,1.024,0.961,0.186,0.425,0.137,0.084
2016,117,Sri Lanka,Southern Asia,4.415,0.973,0.848,0.620,0.508,0.470,0.080
2016,118,India,Southern Asia,4.404,0.740,0.292,0.451,0.403,0.250,0.087
2016,119,Myanmar,Southeastern Asia,4.395,0.341,0.700,0.399,0.427,0.820,0.202
2016,120,Egypt,Middle East and Northern Africa,4.362,0.954,0.498,0.521,0.188,0.127,0.104
2016,121,Armenia,Central and Eastern Europe,4.360,0.861,0.625,0.641,0.140,0.078,0.036
2016,122,Kenya,Sub-Saharan Africa,4.356,0.523,0.762,0.301,0.406,0.413,0.067
2016,123,Ukraine,Central and Eastern Europe,4.324,0.873,1.014,0.586,0.129,0.204,0.018
2016,124,Ghana,Sub-Saharan Africa,4.276,0.631,0.494,0.297,0.410,0.212,0.033
2016,125,Congo (Kinshasa),Sub-Saharan Africa,4.272,0.057,0.807,0.188,0.156,0.255,0.061
2016,126,Georgia,Central and Eastern Europe,4.252,0.838,0.192,0.640,0.325,0.068,0.319
